Model,Corpus,MacroF1
LSTM,Combined,0.5605810310431311
LSTM,Combined,0.5855995273163858
LSTM,Combined,0.5901707667261211
LSTM,Combined,0.5656795150817002
LSTM,Combined,0.6066346770792662
LSTM,Combined,0.6032728481403054
LSTM,Combined,0.5748582212850195
LSTM,Combined,0.5756695719373586
LSTM,Combined,0.5611739189646175
LSTM,Combined,0.5870806199440937
LSTM,Combined,0.5677717546601864
LSTM,Combined,0.5694695503157403
LSTM,Combined,0.5944846730255039
LSTM,Combined,0.5907327104182516
LSTM,Combined,0.5865201913924059
LSTM,Combined,0.5735258627114272
LSTM,Combined,0.5762015329919119
LSTM,Combined,0.6181344262713757
LSTM,Combined,0.5671763992459976
LSTM,Combined,0.6100948620300285
LSTM,Combined,0.5681721158450366
LSTM,Combined,0.5939429440204358
LSTM,Combined,0.6012231163768368
LSTM,Combined,0.5909730562354515
LSTM,Combined,0.579738277531802
LSTM,Combined,0.599733544873311
LSTM,Combined,0.5625697837513378
LSTM,Combined,0.6071157877870154
LSTM,Combined,0.5538519998810526
LSTM,Combined,0.56555649011102
LSTM,Combined,0.5709638062135515
LSTM,Combined,0.5881031866376907
LSTM,Combined,0.5601246116246443
LSTM,Combined,0.5754077712581368
LSTM,Combined,0.5632666844669786
LSTM,Combined,0.5691886927141079
LSTM,Combined,0.6225902399413102
LSTM,Combined,0.6012055454813303
LSTM,Combined,0.58540274352608
LSTM,Combined,0.5609261287276484
LSTM,Combined,0.5814660405651101
LSTM,Combined,0.5760304605411762
LSTM,Combined,0.5627128331607917
LSTM,Combined,0.5786719174501338
LSTM,Combined,0.5954224375943872
LSTM,Combined,0.5546907534214282
LSTM,Combined,0.5581119207546615
LSTM,Combined,0.5611983182646677
LSTM,Combined,0.5781250749727768
LSTM,Combined,0.5768802134545586
LSTM,Combined,0.5798553103661855
LSTM,Combined,0.5748206376701683
LSTM,Combined,0.5738545027666339
LSTM,Combined,0.5786886445098536
LSTM,Combined,0.5696183485939063
LSTM,Combined,0.5816316870517243
LSTM,Combined,0.5909614218407355
LSTM,Combined,0.5728436648329375
LSTM,Combined,0.5808774984885257
LSTM,Combined,0.5636375638661479
LSTM,Combined,0.595171873566875
LSTM,Combined,0.59294356463126
LSTM,Combined,0.5408783425653564
LSTM,Combined,0.5650289259860208
LSTM,Combined,0.5924685968012904
LSTM,Combined,0.5588560510207399
LSTM,Combined,0.5928867983570965
LSTM,Combined,0.5752693132154236
LSTM,Combined,0.5454715809907286
LSTM,Combined,0.5915195538541588
LSTM,Combined,0.5731782016439734
LSTM,Combined,0.6115176069998743
LSTM,Combined,0.579483992564369
LSTM,Combined,0.551913735436429
LSTM,Combined,0.6202111170335115
LSTM,Combined,0.5547272349018726
LSTM,Combined,0.5713453100923767
LSTM,Combined,0.5481534726799612
LSTM,Combined,0.5716432552629719
LSTM,Combined,0.5818005950382037
LSTM,Combined,0.5551881544087829
LSTM,Combined,0.6005836390378335
LSTM,Combined,0.606137228741344
LSTM,Combined,0.5542413925283164
LSTM,Combined,0.592563610554112
LSTM,Combined,0.5895082178090374
LSTM,Combined,0.5794693615133205
LSTM,Combined,0.5457234751003222
LSTM,Combined,0.5410125177231405
LSTM,Combined,0.5551941471791719
LSTM,Combined,0.5539958791701924
LSTM,Combined,0.5754680159638628
LSTM,Combined,0.5795431248886037
LSTM,Combined,0.5727695761765264
LSTM,Combined,0.5916263409124373
LSTM,Combined,0.548914654333338
LSTM,Combined,0.571875510436518
LSTM,Combined,0.585054764279873
LSTM,Combined,0.5857589923472286
LSTM,Combined,0.5384906954982234
LSTM,Combined,0.5803407725871934
LSTM,Combined,0.5647712348563472
LSTM,Combined,0.5760438178320774
LSTM,Combined,0.5676012579641472
LSTM,Combined,0.5776400025756764
LSTM,Combined,0.6055678350759266
LSTM,Combined,0.5965795190139702
LSTM,Combined,0.5953731589331609
LSTM,Combined,0.5955010292083375
LSTM,Combined,0.5878838397007138
